,x_yng,x_old
14,"[-9.4463     -9.45401021 -9.47630531 -9.51076928 -9.55366742 -9.60035104
 -9.64576126 -9.68497717 -9.71374911 -9.72895921 -9.72895921 -9.71374911
 -9.68497717 -9.64576126 -9.60035104 -9.55366742 -9.51076928 -9.47630531
 -9.45401021 -9.4463    ]","[-12.5419     -13.40925759 -15.91733873 -19.79435388 -24.62016832
 -29.87183016 -34.98024036 -39.3918234  -42.62851581 -44.33957174
 -44.33957174 -42.62851581 -39.3918234  -34.98024036 -29.87183016
 -24.62016832 -19.79435388 -15.91733873 -13.40925759 -12.5419    ]"
15,"[-103.8881     -104.27364825 -105.38851288 -107.11188099 -109.25699892
 -111.59140985 -113.86214413 -115.82313248 -117.26187137 -118.02245113
 -118.02245113 -117.26187137 -115.82313248 -113.86214413 -111.59140985
 -109.25699892 -107.11188099 -105.38851288 -104.27364825 -103.8881    ]","[ -9.9473     -10.62905997 -12.60046063 -15.64787011 -19.44105431
 -23.56896287 -27.58427285 -31.0518631  -33.59596642 -34.94088974
 -34.94088974 -33.59596642 -31.0518631  -27.58427285 -23.56896287
 -19.44105431 -15.64787011 -12.60046063 -10.62905997  -9.9473    ]"
16,"[-26.0261     -26.1839127  -26.64024935 -27.34565879 -28.22369897
 -29.1792206  -30.10867809 -30.91135031 -31.50025525 -31.81157593
 -31.81157593 -31.50025525 -30.91135031 -30.10867809 -29.1792206
 -28.22369897 -27.34565879 -26.64024935 -26.1839127  -26.0261    ]","[-84.1887     -82.08847334 -76.01538551 -66.62754981 -54.9422839
 -42.22586767 -29.85632212 -19.17407945 -11.3367264   -7.19356179
  -7.19356179 -11.3367264  -19.17407945 -29.85632212 -42.22586767
 -54.9422839  -66.62754981 -76.01538551 -82.08847334 -84.1887    ]"
17,"[ -81.2479      -82.02715643  -84.28048119  -87.76369159  -92.09932772
  -96.81755615 -101.4070836  -105.37056356 -108.27849149 -109.81574827
 -109.81574827 -108.27849149 -105.37056356 -101.4070836   -96.81755615
  -92.09932772  -87.76369159  -84.28048119  -82.02715643  -81.2479    ]","[-100.8822     -100.4376413   -99.15214005  -97.16500025  -94.69155932
  -91.99985299  -89.38156938  -87.12044016  -85.46149377  -84.58450278
  -84.58450278  -85.46149377  -87.12044016  -89.38156938  -91.99985299
  -94.69155932  -97.16500025  -99.15214005 -100.4376413  -100.8822    ]"
18,"[-12.5389     -12.96650491 -14.20298201 -16.11433983 -18.49345308
 -21.08250794 -23.60094012 -25.77583844 -27.3715189  -28.21506477
 -28.21506477 -27.3715189  -25.77583844 -23.60094012 -21.08250794
 -18.49345308 -16.11433983 -14.20298201 -12.96650491 -12.5389    ]","[-75.3859     -74.7631884  -72.96253405 -70.17906579 -66.71441561
 -62.9440321  -59.27649482 -56.10923835 -53.78548407 -52.55704681
 -52.55704681 -53.78548407 -56.10923835 -59.27649482 -62.9440321
 -66.71441561 -70.17906579 -72.96253405 -74.7631884  -75.3859    ]"
19,"[ -27.8144      -29.94339229  -36.09965979  -45.61607541  -57.46138785
  -70.35197371  -82.89093798  -93.71948934 -101.66418621 -105.86409742
 -105.86409742 -101.66418621  -93.71948934  -82.89093798  -70.35197371
  -57.46138785  -45.61607541  -36.09965979  -29.94339229  -27.8144    ]","[-19.2576     -21.0826541  -26.36004348 -34.51788111 -44.67213869
 -55.72244487 -66.4713275  -75.75397836 -82.5644782  -86.16480369
 -86.16480369 -82.5644782  -75.75397836 -66.4713275  -55.72244487
 -44.67213869 -34.51788111 -26.36004348 -21.0826541  -19.2576    ]"
20,"[-78.8073     -79.28505105 -80.66653247 -82.80203931 -85.46015627
 -88.35283512 -91.16660924 -93.59656253 -95.37937185 -96.32184216
 -96.32184216 -95.37937185 -93.59656253 -91.16660924 -88.35283512
 -85.46015627 -82.80203931 -80.66653247 -79.28505105 -78.8073    ]","[ -3.4441      -5.25684378 -10.4986362  -18.60144773 -28.68721299
 -39.66298284 -50.3393623  -59.55939999 -66.32396177 -69.9000024
 -69.9000024  -66.32396177 -59.55939999 -50.3393623  -39.66298284
 -28.68721299 -18.60144773 -10.4986362   -5.25684378  -3.4441    ]"
21,"[-13.6797     -13.54279642 -13.14692133 -12.53497391 -11.77326818
 -10.94434677 -10.13803617  -9.44171265  -8.93083367  -8.66076089
  -8.66076089  -8.93083367  -9.44171265 -10.13803617 -10.94434677
 -11.77326818 -12.53497391 -13.14692133 -13.54279642 -13.6797    ]","[-117.9738     -117.77115107 -117.18516442 -116.27934081 -115.15184027
 -113.92484499 -112.73131894 -111.70059919 -110.94438022 -110.54461009
 -110.54461009 -110.94438022 -111.70059919 -112.73131894 -113.92484499
 -115.15184027 -116.27934081 -117.18516442 -117.77115107 -117.9738    ]"
22,"[-39.7475     -39.9119826  -40.38760616 -41.12282948 -42.03797971
 -43.03388612 -44.0026268  -44.83922367 -45.45301847 -45.77749701
 -45.77749701 -45.45301847 -44.83922367 -44.0026268  -43.03388612
 -42.03797971 -41.12282948 -40.38760616 -39.9119826  -39.7475    ]","[-65.4857     -65.30679937 -64.78948413 -63.98981343 -62.99444398
 -61.91123952 -60.85758205 -59.94765171 -59.28005357 -58.92713225
 -58.92713225 -59.28005357 -59.94765171 -60.85758205 -61.91123952
 -62.99444398 -63.98981343 -64.78948413 -65.30679937 -65.4857    ]"
23,"[-116.3912     -116.48652914 -116.76218619 -117.18829941 -117.71869283
 -118.2958901  -118.85734293 -119.3422092  -119.69794612 -119.88600408
 -119.88600408 -119.69794612 -119.3422092  -118.85734293 -118.2958901
 -117.71869283 -117.18829941 -116.76218619 -116.48652914 -116.3912    ]","[-102.0946     -102.57956278 -103.98189787 -106.14964051 -108.84788215
 -111.78422643 -114.6404749  -117.10710871 -118.91682981 -119.87352685
 -119.87352685 -118.91682981 -117.10710871 -114.6404749  -111.78422643
 -108.84788215 -106.14964051 -103.98189787 -102.57956278 -102.0946    ]"
24,"[-22.5481     -22.16630661 -21.06229969 -19.3557155  -17.23148894
 -14.9198129  -12.67119336 -10.72930313  -9.30457616  -8.55140371
  -8.55140371  -9.30457616 -10.72930313 -12.67119336 -14.9198129
 -17.23148894 -19.3557155  -21.06229969 -22.16630661 -22.5481    ]","[-64.9734     -65.76554109 -68.05612358 -71.59692732 -76.00425128
 -80.80049351 -85.46590677 -89.49492112 -92.45093035 -94.01360498
 -94.01360498 -92.45093035 -89.49492112 -85.46590677 -80.80049351
 -76.00425128 -71.59692732 -68.05612358 -65.76554109 -64.9734    ]"
25,"[-7.1309     -7.03406457 -6.75405192 -6.32120575 -5.78243166 -5.19611419
 -4.62578994 -4.13326238 -3.77190451 -3.58087508 -3.58087508 -3.77190451
 -4.13326238 -4.62578994 -5.19611419 -5.78243166 -6.32120575 -6.75405192
 -7.03406457 -7.1309    ]","[-94.9609     -93.95815053 -91.05856558 -86.57636017 -80.99725081
 -74.92582057 -69.02000312 -63.91978541 -60.17785518 -58.19970863
 -58.19970863 -60.17785518 -63.91978541 -69.02000312 -74.92582057
 -80.99725081 -86.57636017 -91.05856558 -93.95815053 -94.9609    ]"
26,"[  -6.2935       -9.19114515  -17.57007578  -30.52230476  -46.64425708
  -64.18886907  -81.25490978  -95.9930089  -106.80606469 -112.52231478
 -112.52231478 -106.80606469  -95.9930089   -81.25490978  -64.18886907
  -46.64425708  -30.52230476  -17.57007578   -9.19114515   -6.2935    ]","[-34.1958     -34.4498467  -35.18445689 -36.32002417 -37.7334922
 -39.27168978 -40.76792934 -42.0600701  -43.00808858 -43.50925224
 -43.50925224 -43.00808858 -42.0600701  -40.76792934 -39.27168978
 -37.7334922  -36.32002417 -35.18445689 -34.4498467  -34.1958    ]"
27,"[-67.3081     -65.82089165 -61.5204287  -54.87273304 -46.59818565
 -37.59346213 -28.83436398 -21.27007542 -15.72030448 -12.78645494
 -12.78645494 -15.72030448 -21.27007542 -28.83436398 -37.59346213
 -46.59818565 -54.87273304 -61.5204287  -65.82089165 -67.3081    ]","[ -8.5676      -9.16307935 -10.88498797 -13.54673035 -16.8598654
 -20.46536352 -23.97251306 -27.00125993 -29.22339242 -30.398108
 -30.398108   -29.22339242 -27.00125993 -23.97251306 -20.46536352
 -16.8598654  -13.54673035 -10.88498797  -9.16307935  -8.5676    ]"
28,"[-115.7418     -114.45409257 -110.73051335 -104.97456993  -97.81000809
  -90.01321928  -82.42910654  -75.87952617  -71.07422683  -68.53393726
  -68.53393726  -71.07422683  -75.87952617  -82.42910654  -90.01321928
  -97.81000809 -104.97456993 -110.73051335 -114.45409257 -115.7418    ]","[-15.4996     -16.32241395 -18.70169114 -22.37959997 -26.95758194
 -31.93954168 -36.78560655 -40.97063022 -44.04110044 -45.66428412
 -45.66428412 -44.04110044 -40.97063022 -36.78560655 -31.93954168
 -26.95758194 -22.37959997 -18.70169114 -16.32241395 -15.4996    ]"
29,"[-73.3804     -71.58364555 -66.38808843 -58.35674787 -48.35994424
 -37.48098632 -26.89877802 -17.7600658  -11.05517094  -7.51067282
  -7.51067282 -11.05517094 -17.7600658  -26.89877802 -37.48098632
 -48.35994424 -58.35674787 -66.38808843 -71.58364555 -73.3804    ]","[-19.6429     -20.63753831 -23.51366875 -27.95961797 -33.49359836
 -39.5159173  -45.37396308 -50.43292554 -54.1445876  -56.10673308
 -56.10673308 -54.1445876  -50.43292554 -45.37396308 -39.5159173
 -33.49359836 -27.95961797 -23.51366875 -20.63753831 -19.6429    ]"
30,"[-87.2349     -85.82750827 -81.75784582 -75.46692371 -67.63646098
 -59.11500976 -50.82600151 -43.66767891 -38.41575726 -35.63936378
 -35.63936378 -38.41575726 -43.66767891 -50.82600151 -59.11500976
 -67.63646098 -75.46692371 -81.75784582 -85.82750827 -87.2349    ]","[-4.5123     -4.55661066 -4.68474089 -4.8828058  -5.12934197 -5.39763339
 -5.65860652 -5.88398087 -6.04933363 -6.13674627 -6.13674627 -6.04933363
 -5.88398087 -5.65860652 -5.39763339 -5.12934197 -4.8828058  -4.68474089
 -4.55661066 -4.5123    ]"
31,"[-25.7178     -26.85367651 -30.13821619 -35.2154882  -41.53529134
 -48.41277688 -55.10266254 -60.87999541 -65.11871183 -67.35948109
 -67.35948109 -65.11871183 -60.87999541 -55.10266254 -48.41277688
 -41.53529134 -35.2154882  -30.13821619 -26.85367651 -25.7178    ]","[-115.5351     -113.77474553 -108.68444384 -100.8158081   -91.02152709
  -80.36296313  -69.99513701  -61.04156356  -54.4725014   -50.99981034
  -50.99981034  -54.4725014   -61.04156356  -69.99513701  -80.36296313
  -91.02152709 -100.8158081  -108.68444384 -113.77474553 -115.5351    ]"
32,"[-92.937      -92.49376336 -91.21208502 -89.23085471 -86.76476948
 -84.08106792 -81.47057075 -79.21616583 -77.56215293 -76.68776999
 -76.68776999 -77.56215293 -79.21616583 -81.47057075 -84.08106792
 -86.76476948 -89.23085471 -91.21208502 -92.49376336 -92.937     ]","[-118.9874     -118.99377731 -119.01221816 -119.0407242  -119.07620636
 -119.11481959 -119.15237955 -119.18481604 -119.20861406 -119.22119473
 -119.22119473 -119.20861406 -119.18481604 -119.15237955 -119.11481959
 -119.07620636 -119.0407242  -119.01221816 -118.99377731 -118.9874    ]"
33,"[-14.2149     -15.75018471 -20.18966692 -27.05225986 -35.59429508
 -44.89011053 -53.93236037 -61.74117652 -67.47035258 -70.49904344
 -70.49904344 -67.47035258 -61.74117652 -53.93236037 -44.89011053
 -35.59429508 -27.05225986 -20.18966692 -15.75018471 -14.2149    ]","[ -1.3937      -2.0623044   -3.99566394  -6.98426912 -10.70425819
 -14.75251261 -18.6903412  -22.09101914 -24.5860302  -25.90500121
 -25.90500121 -24.5860302  -22.09101914 -18.6903412  -14.75251261
 -10.70425819  -6.98426912  -3.99566394  -2.0623044   -1.3937    ]"
34,"[-107.8264     -107.65874771 -107.17395856 -106.42456699 -105.49178119
 -104.47668299 -103.48927402 -102.63655536 -102.01093232 -101.68020086
 -101.68020086 -102.01093232 -102.63655536 -103.48927402 -104.47668299
 -105.49178119 -106.42456699 -107.17395856 -107.65874771 -107.8264    ]","[-65.575      -63.99869352 -59.44059136 -52.3946346  -43.62436199
 -34.08016865 -24.79631603 -16.77885361 -10.89659784  -7.78698242
  -7.78698242 -10.89659784 -16.77885361 -24.79631603 -34.08016865
 -43.62436199 -52.3946346  -59.44059136 -63.99869352 -65.575     ]"
35,"[-101.5016      -98.82256061  -91.07575792  -79.1006782   -64.19500717
  -47.97400555  -32.19547058  -18.56925133   -8.57196011   -3.28695853
   -3.28695853   -8.57196011  -18.56925133  -32.19547058  -47.97400555
  -64.19500717  -79.1006782   -91.07575792  -98.82256061 -101.5016    ]","[-17.5941     -19.6936873  -25.76492635 -35.14990418 -46.83161282
 -59.54415789 -71.90993787 -82.58892863 -90.42389581 -94.56579914
 -94.56579914 -90.42389581 -82.58892863 -71.90993787 -59.54415789
 -46.83161282 -35.14990418 -25.76492635 -19.6936873  -17.5941    ]"
36,"[-56.9256     -56.91210849 -56.87309599 -56.81279009 -56.73772589
 -56.65603774 -56.57657784 -56.50795689 -56.45761104 -56.43099604
 -56.43099604 -56.45761104 -56.50795689 -56.57657784 -56.65603774
 -56.73772589 -56.81279009 -56.87309599 -56.91210849 -56.9256    ]","[-55.0661     -54.48890733 -52.8198771  -50.23987464 -47.02848325
 -43.53370701 -40.13425915 -37.1985226  -35.04462997 -33.90598894
 -33.90598894 -35.04462997 -37.1985226  -40.13425915 -43.53370701
 -47.02848325 -50.23987464 -52.8198771  -54.48890733 -55.0661    ]"
37,"[ -1.4171      -2.84967587  -6.99216167 -13.39565478 -21.36623737
 -30.04017312 -38.47750652 -45.76392157 -51.10982214 -53.93589695
 -53.93589695 -51.10982214 -45.76392157 -38.47750652 -30.04017312
 -21.36623737 -13.39565478  -6.99216167  -2.84967587  -1.4171    ]","[ -2.2488      -3.58659398  -7.45500517 -13.4348312  -20.87806513
 -28.97811707 -36.85722071 -43.66155292 -48.65375871 -51.29285513
 -51.29285513 -48.65375871 -43.66155292 -36.85722071 -28.97811707
 -20.87806513 -13.4348312   -7.45500517  -3.58659398  -2.2488    ]"
38,"[-12.7639     -13.43641098 -15.38106691 -18.38713416 -22.12885868
 -26.20076658 -30.16160344 -33.58215114 -36.09174025 -37.41841786
 -37.41841786 -36.09174025 -33.58215114 -30.16160344 -26.20076658
 -22.12885868 -18.38713416 -15.38106691 -13.43641098 -12.7639    ]","[-31.9722     -31.19506212 -28.94786341 -25.47412274 -21.15027379
 -16.44487271 -11.86782269  -7.91511815  -5.01509593  -3.48201846
  -3.48201846  -5.01509593  -7.91511815 -11.86782269 -16.44487271
 -21.15027379 -25.47412274 -28.94786341 -31.19506212 -31.9722    ]"
39,"[-12.1651     -11.94396391 -11.30451916 -10.31605952  -9.08569992
  -7.74676892  -6.44436046  -5.31961072  -4.49440378  -4.05816361
  -4.05816361  -4.49440378  -5.31961072  -6.44436046  -7.74676892
  -9.08569992 -10.31605952 -11.30451916 -11.94396391 -12.1651    ]","[-116.7374     -116.7203541  -116.6710636  -116.59486989 -116.50002973
 -116.39682054 -116.29642662 -116.20972722 -116.14611756 -116.11249073
 -116.11249073 -116.14611756 -116.20972722 -116.29642662 -116.39682054
 -116.50002973 -116.59486989 -116.6710636  -116.7203541  -116.7374    ]"
40,"[-103.1709     -102.60861301 -100.98268455  -98.46930921  -95.34085019
  -91.93632458  -88.62466556  -85.76474276  -83.6664732   -82.55723694
  -82.55723694  -83.6664732   -85.76474276  -88.62466556  -91.93632458
  -95.34085019  -98.46930921 -100.98268455 -102.60861301 -103.1709    ]","[-8.0716     -8.07315505 -8.07765167 -8.08460259 -8.09325457 -8.10267003
 -8.11182866 -8.11973798 -8.1255409  -8.12860857 -8.12860857 -8.1255409
 -8.11973798 -8.11182866 -8.10267003 -8.09325457 -8.08460259 -8.07765167
 -8.07315505 -8.0716    ]"
41,"[-2.9693     -3.11175731 -3.52369177 -4.1604639  -4.95306956 -5.81561762
 -6.65463761 -7.37920871 -7.91081239 -8.19184114 -8.19184114 -7.91081239
 -7.37920871 -6.65463761 -5.81561762 -4.95306956 -4.1604639  -3.52369177
 -3.11175731 -2.9693    ]","[-39.7427     -39.02578625 -36.95273374 -33.74818986 -29.75941667
 -25.41865965 -21.19630716 -17.54991661 -14.87463101 -13.46035905
 -13.46035905 -14.87463101 -17.54991661 -21.19630716 -25.41865965
 -29.75941667 -33.74818986 -36.95273374 -39.02578625 -39.7427    ]"
42,"[-65.1152     -65.48497023 -66.55421059 -68.20705229 -70.26438429
 -72.50326274 -74.68107043 -76.56180809 -77.94166862 -78.67112272
 -78.67112272 -77.94166862 -76.56180809 -74.68107043 -72.50326274
 -70.26438429 -68.20705229 -66.55421059 -65.48497023 -65.1152    ]","[-119.3093     -119.05091868 -118.30377435 -117.14883168 -115.71124664
 -114.14680388 -112.62503503 -111.31084737 -110.34665352 -109.83693885
 -109.83693885 -110.34665352 -111.31084737 -112.62503503 -114.14680388
 -115.71124664 -117.14883168 -118.30377435 -119.05091868 -119.3093    ]"
43,"[-107.0472     -104.7499269   -98.1070528   -87.83843618  -75.05684098
  -61.14735136  -47.61727637  -35.93280956  -27.36014421  -22.82826164
  -22.82826164  -27.36014421  -35.93280956  -47.61727637  -61.14735136
  -75.05684098  -87.83843618  -98.1070528  -104.7499269  -107.0472    ]","[-110.6066     -108.68834613 -103.14145711  -94.56702442  -83.8942209
  -72.2796104   -60.9818162   -51.22512961  -44.066839    -40.28265623
  -40.28265623  -44.066839    -51.22512961  -60.9818162   -72.2796104
  -83.8942209   -94.56702442 -103.14145711 -108.68834613 -110.6066    ]"
44,"[-86.6871     -86.83753301 -87.27253029 -87.94495313 -88.78193409
 -89.69277329 -90.57876718 -91.34390456 -91.90527092 -92.20203352
 -92.20203352 -91.90527092 -91.34390456 -90.57876718 -89.69277329
 -88.78193409 -87.94495313 -87.27253029 -86.83753301 -86.6871    ]","[-28.5447     -29.76316187 -33.28650822 -38.73292982 -45.51222237
 -52.88974432 -60.06602671 -66.26340798 -70.81030572 -73.21399299
 -73.21399299 -70.81030572 -66.26340798 -60.06602671 -52.88974432
 -45.51222237 -38.73292982 -33.28650822 -29.76316187 -28.5447    ]"
45,"[-61.6604     -62.5539658  -65.13783146 -69.13199506 -74.10362699
 -79.51397379 -84.77674043 -89.32162449 -92.65611726 -94.41887471
 -94.41887471 -92.65611726 -89.32162449 -84.77674043 -79.51397379
 -74.10362699 -69.13199506 -65.13783146 -62.5539658  -61.6604    ]","[-36.66       -38.00223154 -41.88347456 -47.88313614 -55.35105987
 -63.47798032 -71.38321957 -78.21012228 -83.21888761 -85.86673812
 -85.86673812 -83.21888761 -78.21012228 -71.38321957 -63.47798032
 -55.35105987 -47.88313614 -41.88347456 -38.00223154 -36.66      ]"
46,"[-51.9454     -52.65876478 -54.72155497 -57.91023524 -61.87926262
 -66.1985314  -70.39998179 -74.02832144 -76.69036346 -78.09763428
 -78.09763428 -76.69036346 -74.02832144 -70.39998179 -66.1985314
 -61.87926262 -57.91023524 -54.72155497 -52.65876478 -51.9454    ]","[-81.4857     -81.95695454 -83.31965042 -85.42611839 -88.04808998
 -90.90143386 -93.67694596 -96.07385647 -97.83242295 -98.76207744
 -98.76207744 -97.83242295 -96.07385647 -93.67694596 -90.90143386
 -88.04808998 -85.42611839 -83.31965042 -81.95695454 -81.4857    ]"
